category	kaomoji	description
(*`0´)θ☆(メ°皿°)ﾉ	Enemies	
(o¬‿¬o )...☆ﾐ(*x_x)	Enemies	
(╬￣皿￣)=○＃(￣#)３￣)	Enemies	
(; -_-)――――――C<―_-)	Enemies	
＜( ￣︿￣)︵θ︵θ︵☆(＞口＜－)	Enemies	
(￣ε(#￣)☆╰╮o(￣▽￣///)	Enemies	
ヽ(>_<ヽ) ―⊂|=0ヘ(^‿^ )	Enemies	
ヘ(>_<ヘ) ￢o(￣‿￣ﾒ)	Enemies	
,,((( ￣□)_／ ＼_(○￣ ))),,	Enemies	
(҂` ﾛ ´)︻デ═一 ＼(º □ º l|l)/	Enemies	
(╯°Д°)╯︵ /(.□ . ＼)	Enemies	
(¬_¬'')ԅ(￣ε￣ԅ)	Enemies	
/( .□.)＼ ︵╰(°益°)╯︵ /(.□. /)	Enemies	
(ﾉ-.-)ﾉ….((((((((((((●~* ( >_<)	Enemies	
!!(ﾒ￣ ￣)_θ☆°0°)/	Enemies	
(`⌒*)O-(`⌒´Q)	Enemies	
(((ง’ω’)و三 ง’ω’)ڡ≡　☆⌒ﾐ((x_x)	Enemies	
(งಠ_ಠ)ง　σ( •̀ ω •́ σ)	Enemies	
(っ•﹏•)っ ✴==≡눈٩(`皿´҂)ง	Enemies	
(｢• ω •)｢ (⌒ω⌒`)	Enemies	
( °ᴗ°)~ð (/❛o❛\)	Enemies	
( ・∀・)・・・--------☆	Weapons	
(/-_・)/D・・・・・------ →	Weapons	
(^ω^)ノﾞ(((((((((●～*	Weapons	
( -ω-)／占~~~~~	Weapons	
(/・・)ノ　　 (( く ((へ	Weapons	
―⊂|=0ヘ(^^ )	Weapons	
○∞∞∞∞ヽ(^ー^ )	Weapons	
(; ・_・)――――C	Weapons	
(ಠ o ಠ)¤=[]:::::>	Weapons	
(*＾＾)/~~~~~~~~~~◎	Weapons	
￢o(￣-￣ﾒ)	Weapons	
―(T_T)→	Weapons	
((( ￣□)_／	Weapons	
(ﾒ` ﾛ ´)︻デ═一	Weapons	
( ´-ω･)︻┻┳══━一	Weapons	
(ﾒ￣▽￣)︻┳═一	Weapons	
✴==≡눈٩(`皿´҂)ง	Weapons	
Q(`⌒´Q)	Weapons	
(ノ ˘_˘)ノ　ζ|||ζ　ζ|||ζ　ζ|||ζ	Magic	
(ﾉ≧∀≦)ﾉ ‥…━━━★	Magic	
(ﾉ>ω<)ﾉ :｡･:*:･ﾟ’★,｡･:*:･ﾟ’☆	Magic	
(ノ°∀°)ノ⌒･*:.｡. .｡.:*･゜ﾟ･*☆	Magic	
╰( ͡° ͜ʖ ͡° )つ──☆*:・ﾟ	Magic	
(＃￣□￣)o━∈・・━━━━☆	Magic	
(⊃｡•́‿•̀｡)⊃━✿✿✿✿✿✿	Magic	
(∩ᄑ_ᄑ)⊃━☆ﾟ*･｡*･:≡( ε:)	Magic	
(/￣ー￣)/~~☆’.･.･:★’.･.･:☆	Magic	
(∩` ﾛ ´)⊃━炎炎炎炎炎	Magic	
